bfSpecRgstNo,orderInsttNm,prdctClsfcNoNm,asignBdgtAmt,rcptDt,sendOK
1455933,전라남도 고흥군,고흥군 도양읍 생활폐기물소각시설 대보수 기본 및 실시설계용역(PQ  후 가격입찰),870400000,2024-06-07 10:14:52,0
1455961,충청남도,계룡산 권역 관광자원 개발 타당성조사 및 기본계획 수립용역,100000000,2024-06-07 10:50:50,0
1455998,서울특별시 영등포구,(PQ)신도림역 인근 보행자교량 신설공사 기본 및 실시설계 용역,354754000,2024-06-07 12:20:15,0
1456001,제주국제자유도시개발센터,휴양형 주거단지 개발사업 기본계획 수립 용역,499419000,2024-06-07 13:12:39,0
1456015,경기도 남양주시,남양주시 신청사 건립 타당성조사 및 기본계획 수립 용역,215655000,2024-06-07 13:26:43,0
1456127,한국해양과학기술원 부설 극지연구소,KOPRI 기본사업 평가시스템 2차년도 고도화,46000000,2024-06-07 15:58:33,0
1456139,한국기계연구원,(긴급)수소터빈 시험연구센터 설비 구축 및 안전 제어 통합시스템 기본/실시 설계 용역,1634000000,2024-06-07 16:15:52,0
1456163,경기주택도시공사,"남양주왕숙2, 하남교산지구 공공주택사업(3개블록) 전기분야 기본설계용역",214307000,2024-06-07 16:34:31,0
1456165,경기주택도시공사,남양주왕숙지구 공공주택사업(2개 블록) 전기분야 기본설계용역,161669000,2024-06-07 16:35:39,0
1456178,대전광역시,대전뷰티산업진흥원 운영 및 뷰티산업 육성 중장기 발전 기본계획 수립 용역,95000000,2024-06-07 16:59:19,0
1456211,경기도 남양주시,2030 남양주시 도시ㆍ주거환경정비기본계획 변경수립 (약식)전략환경영향평가 용역,96240000,2024-06-07 17:44:29,0
1456217,강원특별자치도 영월군,두산 자연재해위험개선지구 정비사업 기본 및 실시설계 용역,283068000,2024-06-07 17:50:46,0
1456222,환경부 전북지방환경청,만경강권역(지방하천) 하천기본계획 수립,2764000000,2024-06-07 17:52:59,0
1456223,환경부 전북지방환경청,주진천권역(지방하천) 하천기본계획수립,2350000000,2024-06-07 17:53:44,0
1455881,조달청,괴산미니 A3BL 공동주택 설계용역,2188148000,2024-06-07 09:10:41,0
1455931,경기도 남양주시 도로관리사업소,시도20호선(마석교~마석윗삼거리)도로확장공사 실시설계용역,149600000,2024-06-07 10:14:22,0
1455933,전라남도 고흥군,고흥군 도양읍 생활폐기물소각시설 대보수 기본 및 실시설계용역(PQ  후 가격입찰),870400000,2024-06-07 10:14:52,0
1455937,과천도시공사,과천지구 상수도 공급시설 조사설계 용역,2687300000,2024-06-07 10:24:05,0
1455962,인천국제공항공사,인천공항 디지털관제시스템 구축 설계용역,233480000,2024-06-07 10:51:17,0
1455998,서울특별시 영등포구,(PQ)신도림역 인근 보행자교량 신설공사 기본 및 실시설계 용역,354754000,2024-06-07 12:20:15,0
1456013,충청남도 태안군,태안읍 도시재생 집수리 가이드라인 수립 및 실시설계 용역,200000000,2024-06-07 13:24:40,0
1456029,서울교통공사,지축승무종합동 신축공사 보완설계용역,314146140,2024-06-07 13:52:52,0
1456058,한국철도기술연구원,철도차량 탄소산정 도구 개발 및 철도인프라 탄소산정 설계 용역,44200000,2024-06-07 14:33:29,0
1456070,국방과학연구소,영빈관 외 9개동 내진보강 설계용역,103800000,2024-06-07 14:43:59,0
1456112,조달청 서울지방조달청,항공생활관 부분개편 전시설계 및 제작·설치,282316100,2024-06-07 15:43:27,0
1456136,제주특별자치도,15분도시 시범지구(애월·표선생활권) 접근성 개선사업 실시설계 용역,108837000,2024-06-07 16:08:44,0
1456139,한국기계연구원,(긴급)수소터빈 시험연구센터 설비 구축 및 안전 제어 통합시스템 기본/실시 설계 용역,1634000000,2024-06-07 16:15:52,0
1456149,충청남도,백사장항 아름다운 어항 조성사업 공원조성계획 및 실시설계 용역,70000000,2024-06-07 16:21:20,0
1456154,아이씨티폴리텍(ICTPolytech)대학,학생회관 승강기 설치공사 실시설계 용역,0,2024-06-07 16:25:10,0
1456157,조달청 전북지방조달청,한국식품연구원 경북본부 지역조직 설립 전기 설계용역,84116000,2024-06-07 16:28:27,0
1456163,경기주택도시공사,"남양주왕숙2, 하남교산지구 공공주택사업(3개블록) 전기분야 기본설계용역",214307000,2024-06-07 16:34:31,0
1456165,경기주택도시공사,남양주왕숙지구 공공주택사업(2개 블록) 전기분야 기본설계용역,161669000,2024-06-07 16:35:39,0
1456217,강원특별자치도 영월군,두산 자연재해위험개선지구 정비사업 기본 및 실시설계 용역,283068000,2024-06-07 17:50:46,0
1456224,환경부 전북지방환경청,전주천유역 상관저수지 개선사업 실시설계,1725600000,2024-06-07 17:54:36,0
1456235,제주특별자치도,1100도로 환승주차장 조성사업 실시설계용역,129778000,2024-06-07 18:46:02,0
1456299,경상남도 밀양시,청도면 어울림 복합센터 조성사업 실시설계용역(일반설계공모),238833000,2024-06-09 16:55:54,0
1456314,조달청,야생동물 보호시설(생츄어리) 진입도로 등 확장공사 실시설계 용역,270000000,2024-06-10 08:57:18,0
1456347,경상남도 양산시,주진불빛공원 조성사업 실시설계용역,196700000,2024-06-10 09:40:28,0
1456416,제주특별자치도 제주시,장기미집행 도시계획시설(공항로변 녹지) 도시계획도로개설사업 실시설계용역,149900000,2024-06-10 10:52:18,0
1456427,광주과학기술원,커뮤니티라운지 건설공사 설계용역,109310000,2024-06-10 11:03:05,0
1456432,경기도 용인시,(긴급)기흥2배수지 설치공사 건설사업관리용역(설계단계),176542300,2024-06-10 11:08:13,0
1455906,한국농수산식품유통공사,원료 농산물 계약재배 정보 서비스 구축 정보화 전략계획(ISP) 수립 용역,50000000,2024-06-07 09:44:57,0
1455961,충청남도,계룡산 권역 관광자원 개발 타당성조사 및 기본계획 수립용역,100000000,2024-06-07 10:50:50,0
1456001,제주국제자유도시개발센터,휴양형 주거단지 개발사업 기본계획 수립 용역,499419000,2024-06-07 13:12:39,0
1456015,경기도 남양주시,남양주시 신청사 건립 타당성조사 및 기본계획 수립 용역,215655000,2024-06-07 13:26:43,0
1456065,재단법인 울산정보산업진흥원,울산형 인공지능산업 발전계획 수립 용역,75000000,2024-06-07 14:37:11,0
1456130,대구광역시,(긴급)대구광역시 산업입지 수급계획 수립 연구용역,119200000,2024-06-07 16:01:18,0
1456149,충청남도,백사장항 아름다운 어항 조성사업 공원조성계획 및 실시설계 용역,70000000,2024-06-07 16:21:20,0
1456159,경기도 성남시,성남시 도시계획정보체계(UPIS) DB 현행화 용역,91000000,2024-06-07 16:31:02,0
1456178,대전광역시,대전뷰티산업진흥원 운영 및 뷰티산업 육성 중장기 발전 기본계획 수립 용역,95000000,2024-06-07 16:59:19,0
1456211,경기도 남양주시,2030 남양주시 도시ㆍ주거환경정비기본계획 변경수립 (약식)전략환경영향평가 용역,96240000,2024-06-07 17:44:29,0
1456222,환경부 전북지방환경청,만경강권역(지방하천) 하천기본계획 수립,2764000000,2024-06-07 17:52:59,0
1456223,환경부 전북지방환경청,주진천권역(지방하천) 하천기본계획수립,2350000000,2024-06-07 17:53:44,0
1456274,외교부,2024년 공공외교 종합시행계획 평가,20000000,2024-06-09 08:49:02,0
1456301,한국기초과학지원연구원,연구개발기관 및 연구시설 관리계획수립·관리방안 기획 용역,34474000,2024-06-10 07:30:06,0
1456328,조달청 서울지방조달청,세종한국어평가센터 구축 중장기 계획 수립,191666300,2024-06-10 09:17:58,0
1456333,한국해양수산개발원,평택당진항 양곡부두(2선석) 민간투자사업 관리이행계획수립을 위한 사업추진방안등 분석,80000000,2024-06-10 09:24:58,0
1456376,조달청 인천지방조달청,수원시 스마트도시계획(2026~2030) 수립 용역,151152390,2024-06-10 10:08:48,0
1456416,제주특별자치도 제주시,장기미집행 도시계획시설(공항로변 녹지) 도시계획도로개설사업 실시설계용역,149900000,2024-06-10 10:52:18,0
1455878,조달청,청년내일저축계좌 3차년도 패널조사 및 개선방안 연구,403182500,2024-06-07 09:07:23,0
